,continuous1,continuous2,discrete1,discrete2,discrete3
0,0.5488135039273248,0.4139624956958795,1,4.0,6
1,0.7151893663724195,0.6296183027065931,1,4.0,6
2,0.6027633760716439,0.7785842640282813,1,4.0,6
3,0.5448831829968969,0.8515577942834893,1,4.0,6
4,0.4236547993389047,0.8164127137140637,1,4.0,6
5,0.6458941130666561,0.16607708859341797,1,4.0,6
6,0.4375872112626925,0.8283895525035856,1,4.0,6
7,0.8917730007820798,0.05862905888377212,1,4.0,6
8,0.9636627605010293,0.2001706815505686,1,4.0,6
9,0.3834415188257777,0.6229267200659891,1,4.0,6
10,0.7917250380826646,0.11469252544690434,1,4.0,6
11,0.5288949197529045,0.6033475950562001,1,4.0,6
12,0.5680445610939323,0.3079656913635638,1,4.0,6
13,0.925596638292661,0.4294665851546483,1,4.0,6
14,0.07103605819788694,0.31515150344547804,1,4.0,6
15,0.08712929970154071,0.07017356786490447,1,4.0,6
16,0.02021839744032572,0.5007587529219609,1,4.0,6
17,0.832619845547938,0.9635994443948874,1,4.0,6
18,0.7781567509498505,0.6117833481601271,1,4.0,6
19,0.8700121482468192,0.3000318716171253,1,4.0,6
20,0.978618342232764,0.9561498341240191,1,4.0,6
21,0.7991585642167236,0.38923725195222736,1,4.0,6
22,0.46147936225293185,0.6975177338688435,1,4.0,6
23,0.7805291762864555,0.6341128049224443,1,4.0,6
24,0.11827442586893322,0.9529108480388515,1,4.0,6
25,0.6399210213275238,0.914602694494837,1,4.0,6
26,0.1433532874090464,0.14800405635003122,1,4.0,6
27,0.9446689170495839,0.08568587472942246,1,4.0,6
28,0.5218483217500717,0.8096423277988296,1,4.0,6
29,0.4146619399905236,0.904943213296823,1,4.0,6
30,0.26455561210462697,0.49297360392289946,1,4.0,6
31,0.7742336894342167,0.6907612738337751,1,4.0,6
32,0.45615033221654855,0.0697882801784182,1,4.0,6
33,0.5684339488686485,0.21980439785647188,1,4.0,6
34,0.018789800436355142,0.14937619465672114,1,4.0,6
35,0.6176354970758771,0.601160583550034,1,4.0,6
36,0.6120957227224214,0.19753989376610714,1,4.0,6
37,0.6169339968747569,0.059846315550850626,1,4.0,6
38,0.9437480785146242,0.3022072827360107,1,4.0,6
39,0.6818202991034834,0.6772124291139527,1,4.0,6
40,0.359507900573786,0.5778637242618545,1,4.0,6
41,0.43703195379934145,0.3307249654946358,1,4.0,6
42,0.6976311959272649,0.8334788758433764,1,4.0,6
43,0.06022547162926983,0.2762691080120896,1,4.0,6
44,0.6667667154456677,0.2605476383656826,1,4.0,6
45,0.6706378696181594,0.5599474107895882,1,4.0,6
46,0.2103825610738409,0.47821563984577564,1,4.0,6
47,0.1289262976548533,0.44597266060036067,1,4.0,6
48,0.31542835092418386,0.15578561895406717,1,4.0,6
49,0.3637107709426226,0.5046461916329911,1,4.0,6
50,0.5701967704178796,0.25901891727544424,1,4.0,6
51,0.43860151346232035,0.3921798826190154,1,4.0,6
52,0.9883738380592262,0.7335704476706063,1,4.0,6
